Keuwl Accelerometer Data File
2025-03-31 16:46:37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.7089266,-0.034098,9.866206,-0.163310,9.867617,90.948296,90.198013
0.7113797,-0.026919,9.842278,-0.168096,9.843750,90.978455,90.156708
0.7138326,-0.041276,9.866206,-0.110668,9.866913,90.642647,90.239700
0.7162856,-0.038883,9.873384,-0.136989,9.874412,90.794899,90.225639
0.7187388,-0.067597,9.856635,-0.115454,9.857543,90.671074,90.392929
0.7211920,-0.058026,9.844670,-0.146560,9.845932,90.852898,90.337708
0.7236452,-0.062812,9.847063,-0.120239,9.847998,90.699570,90.365471
0.7260986,-0.041276,9.880563,-0.146560,9.881736,90.849808,90.239349
0.7285514,-0.034098,9.849456,-0.139382,9.850501,90.810745,90.198349
0.7310041,-0.046062,9.861421,-0.122632,9.862290,90.712463,90.267624
0.7334567,-0.046062,9.878170,-0.158524,9.879549,90.919388,90.267166
0.7359101,-0.041276,9.861421,-0.136989,9.862458,90.795860,90.239815
0.7383632,-0.043669,9.851849,-0.156132,9.853183,90.907936,90.253967
0.7408166,-0.069990,9.878170,-0.132203,9.879302,90.766747,90.405952
0.7432705,-0.031705,9.844670,-0.098704,9.845217,90.574432,90.184525
0.7457234,-0.031705,9.837492,-0.091525,9.837969,90.533051,90.184654
0.7481766,-0.072383,9.844670,-0.079561,9.845258,90.463020,90.421257
0.7506301,-0.072383,9.863813,-0.072383,9.864345,90.420433,90.420441
0.7530834,-0.067597,9.847063,-0.034098,9.847354,90.198395,90.393311
0.7555363,-0.062812,9.859028,-0.084347,9.859589,90.490158,90.365028
0.7579889,-0.065204,9.870992,-0.084347,9.871568,90.489563,90.378471
0.7604421,-0.046062,9.839885,-0.113061,9.840642,90.658295,90.268204
0.7628947,-0.053240,9.859028,-0.134596,9.860091,90.782150,90.309402
0.7653479,-0.060419,9.875777,-0.091525,9.876386,90.530975,90.350525
0.7678012,-0.046062,9.861421,-0.086740,9.861910,90.503944,90.267624
0.7702545,-0.065204,9.839885,-0.103490,9.840645,90.602562,90.379669
0.7727073,-0.034098,9.873384,-0.110668,9.874063,90.642181,90.197868
0.7751603,0.571286,10.579268,0.001795,10.594681,89.990295,86.908997
0.7776138,3.100500,12.924233,0.659821,13.307302,87.157913,76.509781
0.7800673,2.258226,11.586645,1.140778,11.859651,84.480194,78.971359
0.7825210,-2.867200,8.011768,0.293719,8.514431,88.023094,109.690941
0.7849749,-2.917449,6.777072,-1.606182,7.551161,102.281013,113.291306
0.7874287,-1.015155,8.976076,-2.355136,9.335263,104.612701,96.452484
0.7898818,0.346361,10.000204,-0.412164,10.014686,92.358727,88.016327
0.7923347,0.011366,9.894919,1.368096,9.989057,82.128052,89.934189
0.7947879,0.054437,9.894919,0.288933,9.899286,88.327454,89.684792
0.7972409,-0.017348,9.981061,-0.795015,10.012689,94.554123,90.099586
0.7996941,0.008973,9.978668,-0.531805,9.992833,93.050644,89.948479
0.8021467,0.322433,10.210773,0.229113,10.218431,88.715233,88.191330
0.8045996,0.394218,10.294521,0.267398,10.305536,88.513176,87.806992
0.8070524,-0.127418,9.835099,-0.079561,9.836246,90.463448,90.742249
0.8095057,-0.768694,9.251250,-0.318844,9.288605,91.967140,94.749847
0.8119588,-0.627518,9.270393,-0.629911,9.312935,93.878349,93.872475
0.8144115,0.006580,9.878170,-0.433699,9.887689,92.513947,89.961830
0.8168640,-0.084347,9.820743,0.183649,9.822822,88.928726,90.492081
0.8193168,-0.053240,9.837492,0.181256,9.839306,88.944458,90.310081
0.8217699,-0.098704,9.832706,-0.211167,9.835469,91.230232,90.575134
0.8242234,-0.093918,9.844670,-0.352343,9.851421,92.049660,90.546585
0.8266768,-0.065204,9.837492,-0.146560,9.838799,90.853516,90.379761
0.8291299,-0.060419,9.830314,0.001795,9.830500,89.989540,90.352142
0.8315835,-0.055633,9.847063,-0.096311,9.847692,90.560364,90.323700
0.8340362,-0.060419,9.827921,-0.211167,9.830375,91.230865,90.352234
0.8364891,-0.086740,9.803992,-0.254237,9.807672,91.485405,90.506905
0.8389423,-0.084347,9.825528,-0.115454,9.826569,90.673195,90.491844
0.8413954,-0.067597,9.849456,-0.026919,9.849725,90.156586,90.393219
0.8438489,-0.077169,9.842278,-0.065204,9.842796,90.379562,90.449219
0.8463020,-0.093918,9.842278,-0.144168,9.843781,90.839157,90.546722
0.8487551,-0.089133,9.820743,-0.146560,9.822240,90.854958,90.519997
0.8512086,-0.060419,9.813564,-0.101097,9.814271,90.590218,90.352745
0.8536618,-0.086740,9.813564,-0.089133,9.814352,90.520363,90.506409
0.8561153,-0.089133,9.839885,-0.117847,9.840994,90.686134,90.518990
0.8585685,-0.110668,9.844670,-0.182453,9.846983,91.061684,90.644058
0.8610219,-0.079561,9.854242,-0.182453,9.856253,91.060684,90.462585
0.8634753,-0.069990,9.818350,-0.065204,9.818815,90.380493,90.408424
0.8659285,-0.084347,9.806385,-0.055633,9.806906,90.325035,90.492805
0.8683811,-0.091525,9.806385,-0.093918,9.807261,90.548698,90.534737
0.8708342,-0.089133,9.830314,-0.163310,9.832074,90.951721,90.519493
